City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pizarro,CO,84.22,few clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
5,Saint George,US,100.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
6,Puerto Leguizamo,CO,85.24,light rain,-0.19,-74.78,la casona de juancho
10,Rikitea,PF,72.68,broken clouds,-23.12,-134.97,Pension Maro'i
11,Palmdale,US,96.8,clear sky,34.58,-118.12,Courtyard by Marriott Palmdale
12,Rapid Valley,US,77.0,clear sky,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
13,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
14,Dingle,PH,76.66,overcast clouds,11.0,122.67,Camp Pasica
15,Jamestown,US,73.99,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
19,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
24,Sinnamary,GF,82.8,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
25,San Pedro,PH,81.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
26,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
29,Rio Tercero,AR,72.14,scattered clouds,-32.17,-64.11,Hospedaje Las Violetas
33,Boa Vista,BR,80.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
34,Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
38,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
39,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
41,Goderich,CA,78.01,light rain,43.75,-81.72,Harmony Inn
44,Axim,GH,75.38,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
45,Koungou,YT,75.2,clear sky,-12.73,45.2,Villa Netibor
46,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
47,Laguna,US,81.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
