City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pizarro,CO,4.95,-77.37,84.22,73,23,8.23,few clouds
1,Tuktoyaktuk,CA,69.45,-133.04,50.0,71,90,18.34,overcast clouds
2,Mataura,NZ,-46.19,168.86,47.17,95,72,2.1,broken clouds
3,Mehamn,NO,71.04,27.85,50.0,87,75,9.17,broken clouds
4,Nome,US,64.5,-165.41,55.4,76,1,3.36,clear sky
5,Saint George,US,37.1,-113.58,100.99,15,1,3.36,clear sky
6,Puerto Leguizamo,CO,-0.19,-74.78,85.24,61,38,2.1,light rain
7,Busselton,AU,-33.65,115.33,46.0,98,49,10.63,light rain
8,Bako,ET,5.78,36.57,64.6,66,10,5.44,clear sky
9,Ushuaia,AR,-54.8,-68.3,41.0,75,40,24.16,scattered clouds
10,Rikitea,PF,-23.12,-134.97,72.68,76,57,12.37,broken clouds
11,Palmdale,US,34.58,-118.12,96.8,8,1,14.99,clear sky
12,Rapid Valley,US,44.06,-103.15,77.0,38,1,8.05,clear sky
13,Sibu,MY,2.3,111.82,77.0,88,40,6.93,scattered clouds
14,Dingle,PH,11.0,122.67,76.66,83,100,4.14,overcast clouds
15,Jamestown,US,42.1,-79.24,73.99,78,90,14.99,overcast clouds
16,Bluff,NZ,-46.6,168.33,46.49,94,71,5.32,broken clouds
17,Petauke,ZM,-14.24,31.33,60.96,49,24,8.61,few clouds
18,Bredasdorp,ZA,-34.53,20.04,51.8,93,0,4.7,clear sky
19,Ribeira Grande,PT,38.52,-28.7,75.2,69,20,9.17,few clouds
20,Kodiak,US,57.79,-152.41,57.2,76,1,5.82,clear sky
21,Ampanihy,MG,-24.7,44.75,61.34,71,0,13.98,clear sky
22,Esperance,AU,-33.87,121.9,48.2,87,57,10.29,broken clouds
23,Klaksvik,FO,62.23,-6.59,50.0,100,52,12.75,light rain
24,Sinnamary,GF,5.38,-52.95,82.8,76,36,10.96,light rain
25,San Pedro,PH,14.35,121.02,81.0,88,100,2.57,overcast clouds
26,Miri,MY,4.41,114.01,78.8,100,40,3.13,scattered clouds
27,Hermanus,ZA,-34.42,19.23,61.0,73,0,3.0,clear sky
28,Torbay,CA,47.67,-52.73,61.0,93,90,12.75,overcast clouds
29,Rio Tercero,AR,-32.17,-64.11,72.14,46,37,11.74,scattered clouds
30,Punta Arenas,CL,-53.15,-70.92,44.6,65,34,20.8,scattered clouds
31,Wakkanai,JP,45.41,141.67,67.98,95,1,13.02,clear sky
32,Cape Town,ZA,-33.93,18.42,61.0,87,0,10.29,clear sky
33,Boa Vista,BR,2.82,-60.67,80.6,78,75,10.29,broken clouds
34,Arraial Do Cabo,BR,-22.97,-42.03,75.2,53,40,10.29,scattered clouds
35,Saskylakh,RU,71.92,114.08,62.37,64,82,4.29,light rain
36,Opuwo,NA,-18.06,13.84,67.33,26,0,9.71,clear sky
37,Severo-Kurilsk,RU,50.68,156.12,52.34,87,100,5.99,overcast clouds
38,Cockburn Town,TC,21.46,-71.14,86.0,70,40,13.87,scattered clouds
39,Hilo,US,19.73,-155.09,75.2,73,90,8.05,overcast clouds
40,Chokurdakh,RU,70.63,147.92,48.83,69,73,4.59,broken clouds
41,Goderich,CA,43.75,-81.72,78.01,86,90,6.49,light rain
42,Inuvik,CA,68.35,-133.72,50.0,93,90,5.82,shower rain
43,Lebu,CL,-37.62,-73.65,56.35,82,42,8.79,scattered clouds
44,Axim,GH,4.87,-2.24,75.38,75,59,8.84,broken clouds
45,Koungou,YT,-12.73,45.2,75.2,73,0,8.05,clear sky
46,Kapaa,US,22.08,-159.32,80.6,69,1,11.41,clear sky
47,Laguna,US,38.42,-121.42,81.0,47,1,3.36,clear sky
48,Vila Velha,BR,-20.33,-40.29,75.2,60,20,14.99,few clouds
49,Nador,MA,35.17,-2.93,100.4,22,5,19.46,clear sky
50,Bien Hoa,VN,10.95,106.82,77.0,94,75,6.93,light rain
51,Kaitangata,NZ,-46.28,169.85,50.0,85,82,4.0,broken clouds
52,Winnipeg,CA,49.88,-97.15,75.0,38,40,6.93,scattered clouds
53,Tynda,RU,55.17,124.72,53.01,90,100,7.2,overcast clouds
54,Mar Del Plata,AR,-38.0,-57.56,60.8,55,100,10.29,overcast clouds
55,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
56,Qaqortoq,GL,60.72,-46.03,55.4,71,100,5.82,light intensity drizzle
57,Novouzensk,RU,50.46,48.14,71.85,43,47,4.72,scattered clouds
58,Snezhnogorsk,RU,69.19,33.25,50.0,87,75,8.23,broken clouds
59,Yellowknife,CA,62.46,-114.35,78.01,64,40,13.87,scattered clouds
60,Suluq,LY,31.67,20.25,79.79,73,0,10.0,clear sky
61,Tasiilaq,GL,65.61,-37.64,50.0,61,18,14.99,few clouds
62,Butaritari,KI,3.07,172.79,82.45,74,35,16.51,scattered clouds
63,Avarua,CK,-21.21,-159.78,60.8,100,80,1.12,broken clouds
64,Santa Vitoria Do Palmar,BR,-33.52,-53.37,67.44,74,100,2.59,overcast clouds
65,Labrea,BR,-7.26,-64.8,97.95,21,20,3.83,few clouds
66,Ayorou,NE,14.73,0.92,95.4,33,85,9.4,overcast clouds
67,Port Macquarie,AU,-31.43,152.92,43.0,98,73,4.18,broken clouds
68,Airai,TL,-8.93,125.41,52.81,91,52,1.77,broken clouds
69,Atuona,PF,-9.8,-139.03,78.48,75,7,17.11,clear sky
70,Khorramabad,IR,33.49,48.36,77.4,18,0,2.13,clear sky
71,Carauari,BR,-4.88,-66.9,95.81,27,2,3.38,clear sky
72,Numaligarh,IN,26.63,93.75,81.19,87,9,3.62,clear sky
73,Isla Mujeres,MX,21.23,-86.73,89.6,66,40,13.87,scattered clouds
74,Dunmore Town,BS,25.5,-76.65,83.61,80,92,24.4,moderate rain
75,North Bend,US,43.41,-124.22,75.99,82,1,9.17,clear sky
76,Dole,FR,47.08,5.5,77.0,57,99,3.36,overcast clouds
77,Ventspils,LV,57.39,21.56,60.8,82,41,4.7,scattered clouds
78,Ningxiang,CN,37.34,111.21,72.79,41,98,2.82,overcast clouds
79,Wuning,CN,29.26,120.23,75.18,91,54,3.27,broken clouds
80,Labuan,MY,5.28,115.24,80.6,94,20,4.25,few clouds
81,Kruisfontein,ZA,-34.0,24.73,69.01,40,0,9.91,clear sky
82,Tshikapa,CD,-6.42,20.8,81.45,34,78,0.78,broken clouds
83,Pangnirtung,CA,66.15,-65.71,51.8,87,75,12.75,broken clouds
84,Lavrentiya,RU,65.58,-171.0,44.98,74,82,8.23,broken clouds
85,Port-Gentil,GA,-0.72,8.78,77.0,78,75,13.89,broken clouds
86,Mahebourg,MU,-20.41,57.7,69.8,73,75,17.22,broken clouds
87,Kavieng,PG,-2.57,150.8,82.22,77,55,6.33,broken clouds
88,Mecca,SA,21.43,39.83,92.3,47,62,6.91,broken clouds
89,Saint-Philippe,RE,-21.36,55.77,69.8,60,90,12.75,overcast clouds
90,La Union,PE,-5.4,-80.75,80.92,44,24,12.33,few clouds
91,Pitimbu,BR,-7.47,-34.81,77.0,88,75,13.87,broken clouds
92,Bell Ville,AR,-32.63,-62.69,82.0,47,20,7.0,few clouds
93,Aklavik,CA,68.22,-135.01,51.8,93,90,5.82,overcast clouds
94,Camrose,CA,53.02,-112.84,79.0,64,20,8.05,few clouds
95,Nadvoitsy,RU,63.87,34.32,53.2,81,23,4.79,few clouds
96,Qaanaaq,GL,77.48,-69.36,38.97,80,99,12.75,overcast clouds
97,Khetia,IN,21.67,74.58,81.01,83,100,8.72,light rain
