City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2020-08-01 15:53:40,-21.2,-175.2,68.0,88,75,8.05
1,Tocopilla,CL,2020-08-01 15:54:06,-22.09,-70.2,65.71,45,20,3.4
2,Nikolskoye,RU,2020-08-01 15:54:06,59.7,30.79,64.99,48,40,8.95
3,Cape Town,ZA,2020-08-01 15:51:04,-33.93,18.42,69.01,49,0,4.7
4,Hilo,US,2020-08-01 15:52:25,19.73,-155.09,71.6,83,90,6.93
5,Strezhevoy,RU,2020-08-01 15:54:07,60.73,77.59,68.0,68,40,8.95
6,Saint George,US,2020-08-01 15:50:39,37.1,-113.58,91.99,23,1,3.36
7,Ushuaia,AR,2020-08-01 15:52:41,-54.8,-68.3,41.0,93,40,4.18
8,Porto Novo,BJ,2020-08-01 15:54:07,6.5,2.6,82.4,74,40,12.75
9,Barrow,US,2020-08-01 15:54:08,71.29,-156.79,32.0,84,90,6.93
10,Busselton,AU,2020-08-01 15:54:08,-33.65,115.33,48.0,78,78,3.09
11,Isabela,PH,2020-08-01 15:54:08,6.71,121.97,78.8,94,75,2.24
12,Kidal,ML,2020-08-01 15:54:08,18.44,1.41,101.46,25,35,12.77
13,Khatanga,RU,2020-08-01 15:54:09,71.97,102.5,66.97,57,100,8.34
14,Punta Arenas,CL,2020-08-01 15:54:09,-53.15,-70.92,37.4,93,75,4.7
15,Hasaki,JP,2020-08-01 15:54:09,35.73,140.83,72.0,94,40,11.41
16,Kwekwe,ZW,2020-08-01 15:54:09,-18.93,29.81,63.16,30,0,7.38
17,Okoneshnikovo,RU,2020-08-01 15:54:09,54.84,75.08,71.1,67,6,5.55
18,Esna,EG,2020-08-01 15:54:10,25.29,32.55,109.4,19,1,9.17
19,Montepuez,MZ,2020-08-01 15:54:10,-13.13,39.0,71.11,51,81,6.73
20,Rikitea,PF,2020-08-01 15:54:10,-23.12,-134.97,73.24,81,100,5.14
21,Bredasdorp,ZA,2020-08-01 15:53:37,-34.53,20.04,64.4,59,0,8.05
22,Belmonte,BR,2020-08-01 15:54:11,-15.86,-38.88,77.0,65,40,6.93
23,Bengkulu,ID,2020-08-01 15:54:11,-3.8,102.27,75.6,89,61,6.49
24,Mount Isa,AU,2020-08-01 15:54:11,-20.73,139.5,46.4,49,0,11.86
25,Omboue,GA,2020-08-01 15:53:42,-1.57,9.26,76.05,73,39,11.61
26,Cairns,AU,2020-08-01 15:54:12,-16.92,145.77,66.2,82,75,11.41
27,Chandvad,IN,2020-08-01 15:54:12,20.33,74.25,77.34,88,90,8.72
28,Mahebourg,MU,2020-08-01 15:53:31,-20.41,57.7,73.4,78,75,10.29
29,Qaanaaq,GL,2020-08-01 15:54:12,77.48,-69.36,39.7,69,27,6.91
30,Dikson,RU,2020-08-01 15:54:13,73.51,80.55,49.53,94,56,2.8
31,La Rioja,ES,2020-08-01 15:54:13,42.25,-2.5,78.8,50,20,10.29
32,Mataura,NZ,2020-08-01 15:54:13,-46.19,168.86,47.68,86,73,4.59
33,Husavik,IS,2020-08-01 15:54:13,66.04,-17.34,59.0,72,75,9.17
34,Iqaluit,CA,2020-08-01 15:54:14,63.75,-68.51,59.0,77,75,21.92
35,Calvinia,ZA,2020-08-01 15:54:14,-31.47,19.78,65.23,25,0,7.05
36,Butaritari,KI,2020-08-01 15:53:38,3.07,172.79,82.51,80,86,13.47
37,Port Elizabeth,ZA,2020-08-01 15:54:14,-33.92,25.57,62.6,77,0,5.82
38,Bluff,NZ,2020-08-01 15:54:15,-46.6,168.33,52.23,79,98,12.84
39,Chulman,RU,2020-08-01 15:54:15,56.85,124.91,56.32,92,97,1.63
40,Egvekinot,RU,2020-08-01 15:54:15,66.32,-179.17,44.55,86,93,1.92
41,Mayo,US,2020-08-01 15:54:15,38.89,-76.51,84.99,78,20,6.93
42,Lieksa,FI,2020-08-01 15:54:16,63.32,30.02,60.94,68,97,3.6
43,Durham,US,2020-08-01 15:51:14,36.03,-78.87,89.01,62,75,4.7
44,Haines Junction,CA,2020-08-01 15:54:16,60.75,-137.51,63.5,61,99,2.64
45,Tuatapere,NZ,2020-08-01 15:54:16,-46.13,167.68,50.27,89,100,5.59
46,Coahuayana,MX,2020-08-01 15:54:17,18.73,-103.68,77.0,83,5,0.78
47,Esperance,AU,2020-08-01 15:53:47,-33.87,121.9,48.2,87,72,8.05
48,Puerto Ayora,EC,2020-08-01 15:51:30,-0.74,-90.35,73.4,73,75,13.87
49,Chkalovskoye,RU,2020-08-01 15:54:17,44.84,133.04,69.69,86,100,5.86
50,Albany,US,2020-08-01 15:54:17,42.6,-73.97,84.99,44,19,3.69
51,Hobart,AU,2020-08-01 15:50:25,-42.88,147.33,55.4,54,40,8.05
52,Leningradskiy,RU,2020-08-01 15:54:18,69.38,178.42,39.69,73,100,2.39
53,Aromashevo,RU,2020-08-01 15:54:18,56.86,68.64,67.59,85,79,4.7
54,Torbay,CA,2020-08-01 15:54:18,47.67,-52.73,72.0,88,75,3.36
55,Dong Hoi,VN,2020-08-01 15:54:19,17.48,106.6,78.39,87,100,11.39
56,Lorengau,PG,2020-08-01 15:54:19,-2.02,147.27,80.42,83,100,10.69
57,Mar Del Plata,AR,2020-08-01 15:54:19,-38.0,-57.56,53.6,71,75,6.93
58,Fort Nelson,CA,2020-08-01 15:54:19,58.81,-122.7,68.0,72,75,3.36
59,Ginir,ET,2020-08-01 15:54:19,7.13,40.7,59.36,82,69,11.01
60,New Norfolk,AU,2020-08-01 15:53:46,-42.78,147.06,54.0,77,43,5.99
61,Provideniya,RU,2020-08-01 15:54:20,64.38,-173.3,43.07,80,0,7.2
62,Ponta Do Sol,PT,2020-08-01 15:54:20,32.67,-17.1,78.8,61,20,14.99
63,Halifax,CA,2020-08-01 15:51:26,44.65,-63.57,79.0,60,22,1.01
64,Poum,NC,2020-08-01 15:53:40,-20.23,164.02,68.41,75,0,26.84
65,Hambantota,LK,2020-08-01 15:54:21,6.12,81.12,78.8,94,40,10.29
66,Straumen,NO,2020-08-01 15:54:21,63.87,11.3,73.99,68,0,6.93
67,Santa Cruz,BO,2020-08-01 15:50:41,-17.8,-63.17,80.6,61,20,3.36
68,Kapaa,US,2020-08-01 15:54:22,22.08,-159.32,77.0,78,75,14.99
69,Aykhal,RU,2020-08-01 15:54:22,66.0,111.5,62.6,51,0,6.71
70,Koumac,NC,2020-08-01 15:54:22,-20.57,164.28,64.99,75,0,17.65
71,Senanga,ZM,2020-08-01 15:54:22,-16.12,23.27,73.54,19,0,6.2
72,Kaitangata,NZ,2020-08-01 15:54:22,-46.28,169.85,48.0,75,66,1.99
73,Methoni,GR,2020-08-01 15:54:23,36.82,21.7,93.0,38,20,5.82
74,Ribeira Grande,PT,2020-08-01 15:54:23,38.52,-28.7,75.2,69,20,5.82
